date,ts,source,value,target,coin
2019-1-26,2019-01-26T15:24:32.000Z,0xf041fd2ff337f9d3c0e4106d53780bfd0df2dc57,1000.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T15:24:32.000Z,0xf041fd2ff337f9d3c0e4106d53780bfd0df2dc57,1000.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T21:50:49.000Z,0x25b8cce3fd037c11226c64980e4128480a932ebc,0.85,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T20:59:22.000Z,0x3fb446917919c6c6f2da5afd878fea2d24eaa8e4,9.5,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T17:15:16.000Z,0xadd3d98ec9bda74cf9fb97f7d72ef228c0c5182c,100.0,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T19:16:28.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,12.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T19:16:28.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,12.0,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T20:17:39.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,12.2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T20:17:39.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,12.2,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T19:49:47.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,2.1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH
2019-1-26,2019-01-26T19:49:47.000Z,0xf62496dc2e3d01c9ae412dadafbe9e7d52d3f2f9,2.1,0x448a5065aebb8e423f0896e6c5d525c040f59af3,WETH
2019-1-26,2019-01-26T18:21:42.000Z,0x440caa860aeb6a8dd4605a9dd3619501153a20fd,0.42,0xd64979357160e8146f6e1d805cf20437397bf1ba,ETH
2019-1-26,2019-01-26T20:23:22.000Z,0x7284a8451d9a0e7dc62b3a71c0593ea2ec5c5638,0.010515,0xe61669566c4bf676ae6b55252c457a192bd26a9e,ETH
2019-1-26,2019-01-26T16:16:50.000Z,0xaa6b5fcb8bc2c3d6c4b56735ffcc44390820ed2c,40.16,0x436717580173503fb7818f1b11b33e058f8b93c9,ETH
